Alaine-Pierre Manine,1:0.0007315985802814764
Pontus Stenetorp,1:0.0007312737468454147
Goran Topić,1:0.0007312737468454147
Jun’ichi Kazama,1:0.000731086949413079
Kentaro Torisawa,1:0.000731086949413079
David Chu,1:0.0007305021727241291
John Dowling,1:0.0007305021727241291
Wendy Chapman,1:0.0007305021727241291
Ari Rappoport,1:0.0007219822224043433
Dmitry Davidov,1:0.0007219822224043433
Vijay Krishnan,1:0.0007202195900262676
A. Lawrence Spitz,1:0.0007181553847822779
Mark Greenwood,1:0.0007107252239562808
Pasi Tapanainen,1:0.0007029483460768292
David McClosky,1:0.0006995619278445857
Borja Navarro,1:0.0006973671310373793
Estela Saquete,1:0.0006973671310373793
Hector Llorens,1:0.0006973671310373793
Sophia Ananiadou,1:0.0006917160861484568
Diana Maynard,1:0.0006917160861484568
